Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Dougherty County, GA",13095,11,87956,Unreliable,Unreliable
,"Douglas County, GA",13097,26,146343,17.8,18.4
,"Fayette County, GA",13113,17,114421,Unreliable,Unreliable
,"Floyd County, GA",13115,25,98498,25.4,25.4
,"Forsyth County, GA",13117,26,244252,10.6,10.3
,"Fulton County, GA",13121,117,1063937,11,10.7
,"Gilmer County, GA",13123,12,31369,Unreliable,Unreliable
,"Glynn County, GA",13127,18,85292,Unreliable,Unreliable
,"Gwinnett County, GA",13135,114,936250,12.2,12.3
,"Habersham County, GA",13137,12,45328,Unreliable,Unreliable
,"Hall County, GA",13139,35,204441,17.1,17.6
,"Henry County, GA",13151,36,234561,15.3,15.3
,"Houston County, GA",13153,25,157863,15.8,15.7
,"Jackson County, GA",13157,15,72977,Unreliable,Unreliable
,"Laurens County, GA",13175,11,47546,Unreliable,Unreliable
,"Lee County, GA",13177,10,29992,Unreliable,Unreliable
,"Liberty County, GA",13179,15,61435,Unreliable,Unreliable
,"Lowndes County, GA",13185,16,117406,Unreliable,Unreliable
,"Lumpkin County, GA",13187,10,33610,Unreliable,Unreliable
,"Monroe County, GA",13207,12,27578,Unreliable,Unreliable
,"Muscogee County, GA",13215,24,195769,12.3,11.6
,"Newton County, GA",13217,25,111744,22.4,21.2
,"Paulding County, GA",13223,26,168667,15.4,15.4
,"Pickens County, GA",13227,11,32591,Unreliable,Unreliable
,"Polk County, GA",13233,11,42613,Unreliable,Unreliable
,"Richmond County, GA",13245,23,202518,11.4,11.3
,"Rockdale County, GA",13247,10,90896,Unreliable,Unreliable
,"Spalding County, GA",13255,17,66703,Unreliable,Unreliable
,"Union County, GA",13291,10,24511,Unreliable,Unreliable
,"Walton County, GA",13297,21,94593,22.2,22
,"Whitfield County, GA",13313,19,104628,Unreliable,Unreliable
,"Hawaii County, HI",15001,50,201513,24.8,25.7
,"Honolulu County, HI",15003,127,974563,13,12.6
,"Kauai County, HI",15007,13,72293,Unreliable,Unreliable
,"Maui County, HI",15009,34,167417,20.3,20.7
,"Ada County, ID",16001,84,481587,17.4,16.7
,"Bannock County, ID",16005,26,87808,29.6,29.8
,"Bingham County, ID",16011,12,46811,Unreliable,Unreliable
,"Bonner County, ID",16017,16,45739,Unreliable,Unreliable
,"Bonneville County, ID",16019,25,119062,21,22.2
,"Canyon County, ID",16027,45,229849,19.6,19.7
,"Kootenai County, ID",16055,39,165697,23.5,24.1
,"Nez Perce County, ID",16069,11,40408,Unreliable,Unreliable
,"Twin Falls County, ID",16083,22,86878,25.3,24.8
,"Adams County, IL",17001,14,65435,Unreliable,Unreliable
,"Champaign County, IL",17019,30,209689,14.3,15
,"Christian County, IL",17021,11,32304,Unreliable,Unreliable
,"Cook County, IL",17031,477,5150233,9.3,8.7
,"DeKalb County, IL",17037,16,104897,Unreliable,Unreliable
,"DuPage County, IL",17043,85,922921,9.2,9
,"Franklin County, IL",17055,11,38469,Unreliable,Unreliable
,"Grundy County, IL",17063,11,51054,Unreliable,Unreliable
,"Kane County, IL",17089,52,532403,9.8,9.9
,"Kankakee County, IL",17091,16,109862,Unreliable,Unreliable
,"Kendall County, IL",17093,13,128990,Unreliable,Unreliable
,"Lake County, IL",17097,67,696535,9.6,8.8
,"LaSalle County, IL",17099,18,108669,Unreliable,Unreliable
,"McHenry County, IL",17111,31,307774,10.1,9.4
,"McLean County, IL",17113,18,171517,Unreliable,Unreliable
,"Macon County, IL",17115,20,104009,19.2,16.9
,"Madison County, IL",17119,37,262966,14.1,13.2
,"Ogle County, IL",17141,10,50643,Unreliable,Unreliable
,"Peoria County, IL",17143,26,179179,14.5,15.4
,"Rock Island County, IL",17161,26,141879,18.3,18.8
,"St. Clair County, IL",17163,23,259686,8.9,8.8
,"Sangamon County, IL",17167,32,194672,16.4,16.9
,"Tazewell County, IL",17179,14,131803,Unreliable,Unreliable
,"Vermilion County, IL",17183,19,75758,Unreliable,Unreliable
,"Will County, IL",17197,69,690743,10,9.5
,"Williamson County, IL",17199,14,66597,Unreliable,Unreliable
,"Winnebago County, IL",17201,42,282572,14.9,14.6
,"Allen County, IN",18003,41,379299,10.8,11.4
