"","State","County","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10"
"281","IN","Henry County",119,106,13,0,0,0,0,63,52,28,0,0,0,0,119,0
"282","IN","Howard County",361,289,71,1,0,0,0,108,58,40,0,0,238,0,123,0
"283","IN","Huntington County",355,345,10,0,0,0,0,84,44,31,0,0,355,0,0,0
"284","IN","Jackson County",360,340,20,0,0,0,0,80,47,35,0,0,360,0,0,0
"285","IN","Knox County",359,328,31,0,0,0,0,87,50,36,0,0,359,0,0,0
"286","IN","LaPorte County",364,305,55,4,0,0,0,126,61,37,0,0,331,0,33,0
"287","IN","Lake County",365,225,139,1,0,0,0,101,70,45,0,3,149,5,204,4
"288","IN","Madison County",365,286,78,1,0,0,0,101,58,41,0,0,226,0,139,0
"289","IN","Marion County",365,153,208,4,0,0,0,112,72,53,0,0,110,0,255,0
"290","IN","Monroe County",346,296,50,0,0,0,0,69,53,33,0,0,0,0,346,0
"291","IN","Morgan County",364,341,23,0,0,0,0,87,48,35,0,0,358,6,0,0
"292","IN","Perry County",358,322,36,0,0,0,0,80,51,37,0,0,358,0,0,0
"293","IN","Pike County",227,227,0,0,0,0,0,46,6,1,0,0,0,227,0,0
"294","IN","Porter County",365,264,93,8,0,0,0,122,64,41,0,0,204,27,118,16
"295","IN","Posey County",364,341,23,0,0,0,0,80,49,35,0,0,364,0,0,0
"296","IN","Shelby County",365,338,27,0,0,0,0,84,49,36,0,0,365,0,0,0
"297","IN","Spencer County",117,101,16,0,0,0,0,73,53,31,0,0,0,0,117,0
"298","IN","St. Joseph County",365,276,89,0,0,0,0,100,62,41,0,1,227,0,137,0
"299","IN","Sullivan County",116,99,17,0,0,0,0,78,52,31,0,0,0,0,116,0
"300","IN","Tippecanoe County",351,284,67,0,0,0,0,75,55,33,0,0,0,0,351,0
"301","IN","Vanderburgh County",365,296,69,0,0,0,0,90,55,41,0,1,220,0,144,0
