"","State","County","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate"
"948"," WV","Berkeley County",54003,24,119171,"20.1","19.3"
"949"," WV","Cabell County",54011,13,91945,NA,NA
"950"," WV","Harrison County",54033,17,67256,NA,NA
"951"," WV","Kanawha County",54039,30,178124,"16.8","15.4"
"952"," WV","Marshall County",54051,10,30531,NA,NA
"953"," WV","Monongalia County",54061,10,105612,NA,NA
"954"," WV","Nicholas County",54067,10,24496,NA,NA
"955"," WV","Ohio County",54069,11,41411,NA,NA
"956"," WV","Raleigh County",54081,23,73361,"31.4","30.4"
"957"," WV","Randolph County",54083,11,28695,NA,NA
"958"," WV","Wood County",54107,14,83518,NA,NA
"959"," WI","Brown County",55009,40,264542,"15.1","14.4"
"960"," WI","Chippewa County",55017,12,64658,NA,NA
"961"," WI","Columbia County",55021,11,57532,NA,NA
"962"," WI","Dane County",55025,54,546695,"9.9","9.3"
"963"," WI","Dodge County",55027,16,87839,NA,NA
"964"," WI","Eau Claire County",55035,22,104646,"21","21.4"
"965"," WI","Fond du Lac County",55039,22,103403,"21.3","21"
"966"," WI","Jefferson County",55055,13,84769,NA,NA
"967"," WI","Kenosha County",55059,28,169561,"16.5","15.3"
"968"," WI","La Crosse County",55063,17,118016,NA,NA
"969"," WI","Lincoln County",55069,10,27593,NA,NA
"970"," WI","Manitowoc County",55071,20,78981,"25.3","24.6"
"971"," WI","Marathon County",55073,25,135692,"18.4","18.4"
"972"," WI","Milwaukee County",55079,108,945726,"11.4","11.3"
"973"," WI","Oneida County",55085,11,35595,NA,NA
"974"," WI","Outagamie County",55087,25,187885,"13.3","12.7"
"975"," WI","Ozaukee County",55089,11,89221,NA,NA
"976"," WI","Racine County",55101,31,196311,"15.8","15.3"
"977"," WI","Rock County",55105,20,163354,"12.2","14.5"
"978"," WI","Sauk County",55111,10,64442,NA,NA
"979"," WI","Sheboygan County",55117,16,115340,NA,NA
"980"," WI","Walworth County",55127,15,103868,NA,NA
"981"," WI","Washington County",55131,25,136034,"18.4","18.1"
"982"," WI","Waukesha County",55133,46,404198,"11.4","10.6"
"983"," WI","Waupaca County",55135,11,50990,NA,NA
"984"," WI","Winnebago County",55139,25,171907,"14.5","13.8"
"985"," WI","Wood County",55141,12,72999,NA,NA
"986"," WY","Fremont County",56013,15,39261,NA,NA
"987"," WY","Laramie County",56021,29,99500,"29.1","28.2"
"988"," WY","Lincoln County",56023,10,19830,NA,NA
"989"," WY","Natrona County",56025,29,79858,"36.3","40.5"
"990"," WY","Park County",56029,10,29194,NA,NA
"991"," WY","Sweetwater County",56037,19,42343,NA,NA
