"","State","County","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate"
"237"," IL","DuPage County",17043,85,922921,"9.2","9"
"238"," IL","Franklin County",17055,11,38469,NA,NA
"239"," IL","Grundy County",17063,11,51054,NA,NA
"240"," IL","Kane County",17089,52,532403,"9.8","9.9"
"241"," IL","Kankakee County",17091,16,109862,NA,NA
"242"," IL","Kendall County",17093,13,128990,NA,NA
"243"," IL","Lake County",17097,67,696535,"9.6","8.8"
"244"," IL","LaSalle County",17099,18,108669,NA,NA
"245"," IL","McHenry County",17111,31,307774,"10.1","9.4"
"246"," IL","McLean County",17113,18,171517,NA,NA
"247"," IL","Macon County",17115,20,104009,"19.2","16.9"
"248"," IL","Madison County",17119,37,262966,"14.1","13.2"
"249"," IL","Ogle County",17141,10,50643,NA,NA
"250"," IL","Peoria County",17143,26,179179,"14.5","15.4"
"251"," IL","Rock Island County",17161,26,141879,"18.3","18.8"
"252"," IL","St. Clair County",17163,23,259686,"8.9","8.8"
"253"," IL","Sangamon County",17167,32,194672,"16.4","16.9"
"254"," IL","Tazewell County",17179,14,131803,NA,NA
"255"," IL","Vermilion County",17183,19,75758,NA,NA
"256"," IL","Will County",17197,69,690743,"10","9.5"
"257"," IL","Williamson County",17199,14,66597,NA,NA
"258"," IL","Winnebago County",17201,42,282572,"14.9","14.6"
"259"," IN","Allen County",18003,41,379299,"10.8","11.4"
"260"," IN","Bartholomew County",18005,15,83779,NA,NA
"261"," IN","Boone County",18011,13,67843,NA,NA
"262"," IN","Clark County",18019,19,118302,NA,NA
"263"," IN","Clinton County",18023,10,32399,NA,NA
"264"," IN","Delaware County",18035,25,114135,"21.9","21.2"
"265"," IN","Elkhart County",18039,30,206341,"14.5","14.2"
"266"," IN","Floyd County",18043,13,78522,NA,NA
"267"," IN","Hamilton County",18057,40,338011,"11.8","12.3"
"268"," IN","Hancock County",18059,13,78168,NA,NA
"269"," IN","Hendricks County",18063,18,170311,NA,NA
