"","FIPS","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019"
"2401",45077,2.8,48794,9.770755084,16.6,24803,2.46,5.055025679,7.641232575,5.225605282,0.17975055,13.27586207,0.970286134,0.579603815,16.19589142,48.22267058,3.14,0.18,87.2,6.54,1.59,15.11857835,30.14798061,20.25201939,9.986429725,24.49499192,1.562
"2402",45079,2.8,52611,8.582712366,16.7,29010,2.51,8.515657856,4.191156107,4.781467007,0.067698557,14.64442872,2.325342852,0.355930291,6.63086849,50.76622457,4.85,0.26,45.32,45.4,2.19,8.927442193,22.42563738,22.31016076,8.620290106,37.71646956,2.296
"2403",45081,2.7,46019,6.215255171,14.9,22174,2.77,3.739279588,7.753001715,6.037735849,0,13.92795883,1.372212693,7.432818754,18.73070326,36.00914808,14.37,0.22,58.1,26.14,0.18,20.77617457,36.21437202,17.15829128,9.716397754,16.13476438,1.537
"2404",45083,2.6,53567,6.604948776,13.6,26072,2.57,4.486731466,5.693616837,5.008394158,0.016572157,15.21684308,1.972086723,0.46185882,21.53948136,42.74679905,5.86,0.2,70.06,20.44,2,14.72713056,29.41491794,21.30579967,10.7254388,23.82671303,0.578
"2405",45085,3.4,45181,7.402618548,18.7,22272,2.54,4.129862808,6.208889307,5.215185116,0,13.51249765,1.005450103,1.623285097,18.72768277,42.90781808,3.29,0.31,46.92,46.63,1.09,16.36332393,30.96100697,24.28078416,9.939426919,18.45545802,0.997
"2406",45087,3.5,40686,8.488757833,20.4,22372,2.35,3.1451405,6.006702758,4.69193091,0,17.47013835,1.830368652,0.910887686,24.19008335,37.25186904,0.97,0.22,66.11,31.15,0.27,18.57996019,39.78867847,19.17717319,10.31596141,12.13822674,-0.052
"2407",45089,4.6,32814,12.13651923,26,18454,2.43,3.731215847,6.113387978,5.695013661,0,11.97062842,0.785519126,2.715163934,20.51741803,40.47984973,2,0.3,31.16,65.44,0.4,19.31441869,41.8911662,17.66759152,8.471314777,12.65550882,0.681
"2408",45091,2.8,64904,4.757055572,9.8,32227,2.6,8.165774685,5.665597339,6.861300061,0.108771902,15.44797471,2.243223432,0.368090423,14.99475846,43.1241182,4.46,0.79,72.71,18.85,1.5,10.39952861,25.8757741,21.50845734,10.21582401,32.00041593,0.535
"2409",46000,3.3,57041,6.255202588,12.9,29801,2.43,7.207756571,7.253829841,4.245742175,0.502966531,14.33895021,1.473441244,6.075799563,10.31273361,44.00336064,2.72,8.53,84.69,1.22,0.93,8.278153286,30.55319944,21.21823437,11.47539249,28.47502041,1.718
"2410",46003,2.8,53107,2.637614679,10.2,31468,2.23,3.536754508,7.628294036,5.339805825,0,10.74895978,0.554785021,21.28987517,8.113730929,39.4590846,3.73,1.4,93.39,0.33,0.66,13.15644002,33.55444997,17.35765616,15.36760641,20.56384743,2.369
