"","State","County","FIPS","Population","Age.Adjusted.Rate","per_unhealthy_days","Median.AQI","Avg_Temperature","Total_Precipitation","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019","per_gop","per_dem","per_point_diff"
"46","CA","San Francisco County",6075,881549,9,0.00273972602739726,36,58,27.16,2.2,110601,5.208155754,10.1,64157,2.36,8.513684995,3.208299863,4.110931309,0.019985176,10.91772705,6.002731954,0.194612928,5.127070794,58.702477,15.12,0.23,41.91,5.81,33,11.51589948,12.27320387,13.81174126,5.259944515,57.13921088,6.787,0.127220616157562,0.852743664563499,-0.725523048405937
"47","CA","San Joaquin County",6077,762148,10.8,0.0328767123287671,44,63.1,16.57,5.9,63567,6.598557023,14.3,26145,3.16,4.71213614,8.00009165,8.265877601,0.056299487,15.39725507,1.346277851,4.658127911,9.986612506,42.63376856,38.86,0.46,35.88,7.08,13.8,21.14735388,28.19741749,22.89012018,9.327924196,18.43718425,1.452,0.419833381291971,0.558644168865252,-0.138810787573281
"48","CA","San Luis Obispo County",6079,283111,15.5,0.00821917808219178,46,59.7,20.19,2.9,70626,7.431890044,12.7,35832,2.52,4.455851204,8.516674655,4.357674052,0.340141313,13.43635492,1.589387591,3.048129996,6.977535212,51.59711808,20.76,0.51,71.09,1.9,3.01,9.129296602,19.81382057,25.9382281,10.50431593,34.6143388,0.347,0.4223169945078,0.55304012374672,-0.13072312923892
"49","CA","San Mateo County",6081,766573,7.5,0.00547945205479452,35,58,31.27,2,122930,3.451103337,6.8,57375,2.89,7.704355336,5.136724801,5.602191695,0.033177934,11.3629544,4.532203332,0.459124054,7.790715546,54.118333,25.4,0.16,42.26,2.61,24.49,10.83028076,14.99801971,17.2143041,7.0157091,49.94168633,5.46,0.201965584891136,0.778883727394705,-0.576918142503568
"50","CA","Santa Barbara County",6083,446499,13.2,0.00273972602739726,43,58.6,22.85,3.7,75646,7.010906692,12.6,34229,2.92,4.721583369,5.446963651,3.036585423,0.368357174,11.79923589,1.965043849,8.521329297,6.978951693,52.8413089,42.86,0.43,47.92,1.71,4.62,19.00626335,17.91684166,21.49736136,7.748662418,33.83087121,2.098,0.328207381370826,0.648880611918837,-0.320673230548011
"51","CA","Santa Clara County",6085,1927852,8.4,0.010958904109589,41,58.8,28.75,2.5,125933,3.976900341,7.3,52451,2.97,4.759909843,5.080449323,2.880696423,0.038647323,10.63683891,5.167989061,0.497039067,16.77385128,51.72056667,26.9,0.23,35.19,2.38,31.74,11.91168461,14.48065079,15.35616003,6.922188456,51.32931611,8.4,0.252329745732621,0.72657379820863,-0.474244052476009
"52","CA","Santa Cruz County",6087,273213,14,0,35,58.6,40,4.7,84213,6.66496386,12.2,39001,2.73,4.282304454,6.237027812,3.005841191,0.023720572,13.17084742,2.425428453,5.054705568,8.721016426,53.74340272,32.05,0.37,59.61,0.88,4.06,13.59852403,15.77838034,21.70351941,8.883795041,40.03578118,0.67,0.18603414458963,0.78901350866046,-0.602979364070831
"53","CA","Shasta County",6089,180080,28.1,0,42,55.3,52.35,4.7,53908,7.226529246,15.2,27983,2.49,5.467454967,7.590617748,4.273952923,0.120179025,15.10526025,1.686650459,1.888330202,5.640125981,51.74190518,8.4,2.35,82.41,0.81,2.42,9.200085612,24.82263319,32.18999453,11.59562746,22.1916592,1.09,0.654348762109796,0.322927879440258,0.331420882669537
"54","CA","Solano County",6095,447643,12.8,0.00273972602739726,40,61.7,25.15,3.7,82808,4.588407619,7.9,33700,2.87,5.499893939,8.263900194,6.286227326,0.135659775,13.90340037,1.793668882,1.35117136,8.523873654,47.14497837,24.04,0.45,40.8,14.21,14.28,12.02424137,23.30095143,28.33710992,10.14206432,26.19563295,1.566,0.336713128731824,0.639548950352474,-0.30283582162065
"55","CA","Sonoma County",6097,494336,14.9,0,33,57.9,51.91,2.7,81002,4.778631851,9.9,39929,2.6,5.754061423,8.191112812,3.70608592,0.064714448,14.41474858,1.983655656,2.716822994,9.651528484,49.47301131,24.89,0.74,66.14,1.4,3.67,11.96503598,18.76787869,24.84914853,9.534092433,34.88384437,0.65,0.23047358453991,0.745336474658157,-0.514862890118247
